gare;city
SAVERNE-(HT-BARR);SAVERNE-(HT-BARR)
NEUWILLER-R.-BOUXWILLER;NEUWILLER-R.-BOUXWILLER
PFAFFENHOFFEN-(MAIRIE).;PFAFFENHOFFEN-(MAIRIE).
RAEDERSHEIM;RAEDERSHEIM
WINGEN-SUR-MODER;WINGEN-SUR-MODER
REIPERTSWILLER-SP.;REIPERTSWILLER-SP.
LICHTENBERG-(EGLISE).;LICHTENBERG-(EGLISE).
THANN ARRÊT LA POSTE;THANN
THANN;THANN
WESSERLING;FELLERING
METZERAL;METZERAL
SEWEN;SEWEN
SAVERNE-(LYCÉE-VERNE);SAVERNE-(LYCÉE-VERNE)
SAVERNE-(PL.-DRAGONS);SAVERNE-(PL.-DRAGONS)
MONTREUX-VIEUX;MONTREUX-VIEUX
RIBEAUVILLE-GARE-ROUTIÈ;RIBEAUVILLE-GARE-ROUTIÈ
RIQUEWIHR-POSTE;RIQUEWIHR-POSTE
STE-MARIE/-MS-(-THÉÂTRE;STE-MARIE/-MS-(-THÉÂTRE
SÈLESTAT-(SCHWILGUÉ);SÈLESTAT-(SCHWILGUÉ)
SÉLESTAT-(SCHWEISGUTH);SÉLESTAT-(SCHWEISGUTH)
LIÈPVRE-(RTE-VANCELLE);LIÈPVRE-(RTE-VANCELLE)
LE-MONT-DORE-GARE;LE-MONT-DORE-GARE
ST-DENIS-PRÈS-MARTEL;SAINT-DENIS-LÈS-MARTEL
VICHY;VICHY
URCAY-HOTEL-DU-LYON-D'O;URCAY-HOTEL-DU-LYON-D'O
ST-AMAND-MONTROND-ORVAL;ORVAL
VERTAIZON;VERTAIZON
ST-ELOY;SAINT-ÉLOY-LES-MINES
ST-ELOY-LES-MINES-LYCÉE;ST-ELOY-LES-MINES-LYCÉE
ST-GERVAIS-MAIRIE;ST-GERVAIS-MAIRIE
LE MONT DORE SKI;LE MONT DORE SKI
ST-FLOUR-CHAUDES-AIGUES;SAINT-FLOUR
MAURIAC-LYCÉE-CORTAT;MAURIAC-LYCÉE-CORTAT
MAURIAC;MAURIAC
ST-GERVAIS-CH-LPA.;ST-GERVAIS-CH-LPA.
RIOM_ES_M_LA_POSTE.;RIOM_ES_M_LA_POSTE.
PONTGIBAUD-VILLE;PONTGIBAUD-VILLE
ST-GEORGES-D'AURAC;MAZEYRAT-D'ALLIER
ST-GEORGE-D'AURAC-BOURG;ST-GEORGE-D'AURAC-BOURG
LA CHAISE-DIEU;LA CHAISE-DIEU
ISSOIRE-LYCÉE-DEVILLE;ISSOIRE-LYCÉE-DEVILLE
LE-BREUIL-SUR-COUZE-LYC;LE-BREUIL-SUR-COUZE-LYC
ST-PIERRE-LE-MOÛTIER;SAINT-PIERRE-LE-MOÛTIER
PARAY-LE-MONIAL;PARAY-LE-MONIAL
SEURRE;SEURRE
QUIMPERLÉ;QUIMPERLE
RETIERS;RETIERS
LUÇAY-LE-MALE;LUÇAY-LE-MÂLE
SEDAN-PLACE-CALONNE;SEDAN-PLACE-CALONNE
VERDUN;VERDUN
VITRY-LE-FRANÇOIS;VITRY-LE-FRANCOIS
LANGRES-GENDARMERIE;LANGRES-GENDARMERIE
JUVANCOURT;JUVANCOURT
VILLE-SOUS-LA-FERTÉ;VILLE-SOUS-LA-FERTÉ
PAYNS ABRI SAVIÈRES;PAYNS ABRI SAVIÈRES
LURE;LURE
POLIGNY;POLIGNY
LES GRANGES-NARBOZ;LES GRANGES-NARBOZ
JOUGNE;JOUGNE
MARVEJOLS PLACE CHAYLA;MARVEJOLS
QUILLAN;QUILLAN
MEYMAC;MEYMAC
MIRECOURT;MIRECOURT
VÉZELISE BEAUREGARD;VÉZELISE
MIRECOURT (LYCÉE AGRIC);MIRECOURT
MONTMÉDY;MONTMÉDY
VEZIN-CARREFOUR;VEZIN-CARREFOUR
RÉMILLY;RÉMILLY
ST-JEAN-DE-BASSEL-EGLIS;ST-JEAN-DE-BASSEL-EGLIS
SARREBOURG-HÔPITAL;SARREBOURG-HÔPITAL
NEUFCHATEAU-LP;NEUFCHATEAU-LP
LAVELINE-D-BRUY. MAIRIE;LAVELINE-D-BRUY. MAIRIE
KÉDANGE (EGLISE);KÉDANGE-SUR-CANNER
